name,essround,edition,proddate,idno,cntry,stflife,happy,sclmeet,rlgdgr,alcfreq,gndr,agea,eduyrs,hinctnta
ESS7e01,7,1.0,28.10.2015,1,AT,10,7,4,4,2,1,51,13,3
ESS7e01,7,1.0,28.10.2015,2,AT,7,5,5,3,6,1,67,8,3
ESS7e01,7,1.0,28.10.2015,3,AT,10,8,6,4,2,2,89,8,2
ESS7e01,7,1.0,28.10.2015,4,AT,8,9,6,5,3,1,32,13,4
ESS7e01,7,1.0,28.10.2015,5,AT,10,10,4,8,5,2,56,10,8
ESS7e01,7,1.0,28.10.2015,6,AT,10,10,5,2,5,2,67,11,5
ESS7e01,7,1.0,28.10.2015,7,AT,7,8,6,6,2,1,66,12,4
ESS7e01,7,1.0,28.10.2015,13,AT,8,8,4,5,2,2,67,14,3
ESS7e01,7,1.0,28.10.2015,14,AT,3,4,6,4,4,2,34,18,3
ESS7e01,7,1.0,28.10.2015,21,AT,8,7,4,5,5,2,66,11,2
ESS7e01,7,1.0,28.10.2015,22,AT,7,7,5,6,2,1,61,11,5
ESS7e01,7,1.0,28.10.2015,23,AT,10,10,4,9,6,2,55,12,7
ESS7e01,7,1.0,28.10.2015,24,AT,10,10,3,8,1,2,79,8,4
ESS7e01,7,1.0,28.10.2015,25,AT,9,9,4,7,4,2,38,13,9
ESS7e01,7,1.0,28.10.2015,26,AT,7,7,3,0,3,1,35,11,3
ESS7e01,7,1.0,28.10.2015,33,AT,9,9,7,9,3,2,40,15,10
ESS7e01,7,1.0,28.10.2015,34,AT,10,9,6,5,6,1,42,14,4
ESS7e01,7,1.0,28.10.2015,35,AT,10,10,7,7,4,2,36,11,7
ESS7e01,7,1.0,28.10.2015,36,AT,10,9,6,6,4,2,52,12,7
ESS7e01,7,1.0,28.10.2015,37,AT,10,10,6,7,3,1,27,13,4
ESS7e01,7,1.0,28.10.2015,38,AT,9,9,6,7,6,2,34,11,6
ESS7e01,7,1.0,28.10.2015,39,AT,8,9,3,9,7,2,63,8,9
ESS7e01,7,1.0,28.10.2015,40,AT,10,7,7,10,7,2,64,8,10
ESS7e01,7,1.0,28.10.2015,45,AT,7,5,2,5,3,1,50,12,5
ESS7e01,7,1.0,28.10.2015,46,AT,9,7,6,0,3,2,46,14,4
ESS7e01,7,1.0,28.10.2015,47,AT,10,8,5,5,3,1,52,12,2
ESS7e01,7,1.0,28.10.2015,48,AT,10,9,5,9,5,2,18,11,77
ESS7e01,7,1.0,28.10.2015,49,AT,10,9,5,5,5,2,16,10,77
ESS7e01,7,1.0,28.10.2015,50,AT,8,8,5,7,1,1,52,9,7
ESS7e01,7,1.0,28.10.2015,51,AT,9,8,3,0,3,1,32,12,4
ESS7e01,7,1.0,28.10.2015,52,AT,5,8,5,6,3,1,72,9,4
ESS7e01,7,1.0,28.10.2015,57,AT,5,7,5,5,3,1,69,11,5
ESS7e01,7,1.0,28.10.2015,58,AT,8,8,7,0,3,2,39,21,10
ESS7e01,7,1.0,28.10.2015,59,AT,9,9,6,7,3,2,57,19,5
ESS7e01,7,1.0,28.10.2015,65,AT,8,7,4,5,4,2,54,12,3
ESS7e01,7,1.0,28.10.2015,66,AT,10,10,4,8,5,2,41,11,2
ESS7e01,7,1.0,28.10.2015,67,AT,9,9,5,5,4,1,38,12,6
ESS7e01,7,1.0,28.10.2015,68,AT,8,8,6,5,7,2,35,13,77
ESS7e01,7,1.0,28.10.2015,77,AT,8,8,5,6,3,2,26,13,7
ESS7e01,7,1.0,28.10.2015,78,AT,88,10,5,10,7,2,36,10,77
ESS7e01,7,1.0,28.10.2015,79,AT,7,7,5,3,2,1,33,14,6
ESS7e01,7,1.0,28.10.2015,80,AT,9,9,5,2,1,2,57,15,8
ESS7e01,7,1.0,28.10.2015,81,AT,7,8,5,10,2,1,90,8,1
ESS7e01,7,1.0,28.10.2015,82,AT,8,8,5,5,3,1,70,9,5
ESS7e01,7,1.0,28.10.2015,89,AT,8,8,4,6,6,2,39,11,4
ESS7e01,7,1.0,28.10.2015,90,AT,5,3,1,7,4,1,85,8,2
ESS7e01,7,1.0,28.10.2015,91,AT,8,8,5,7,3,1,59,9,4
ESS7e01,7,1.0,28.10.2015,92,AT,8,8,4,6,3,2,40,9,77
ESS7e01,7,1.0,28.10.2015,93,AT,10,8,4,2,3,2,19,10,6
ESS7e01,7,1.0,28.10.2015,94,AT,10,10,5,0,7,2,45,16,8
ESS7e01,7,1.0,28.10.2015,95,AT,9,8,5,4,3,2,39,17,8
ESS7e01,7,1.0,28.10.2015,96,AT,8,9,5,6,2,1,37,9,5
ESS7e01,7,1.0,28.10.2015,101,AT,8,7,4,2,2,1,43,9,8
ESS7e01,7,1.0,28.10.2015,102,AT,8,8,5,8,6,2,35,13,6
ESS7e01,7,1.0,28.10.2015,103,AT,8,9,5,5,5,2,57,16,9
ESS7e01,7,1.0,28.10.2015,104,AT,6,5,6,5,1,1,78,12,2
ESS7e01,7,1.0,28.10.2015,105,AT,1,3,5,5,4,1,44,9,4
ESS7e01,7,1.0,28.10.2015,106,AT,10,10,5,7,6,2,42,14,5
ESS7e01,7,1.0,28.10.2015,107,AT,3,3,4,3,6,2,40,9,3
ESS7e01,7,1.0,28.10.2015,108,AT,8,8,5,6,4,2,17,10,88
ESS7e01,7,1.0,28.10.2015,109,AT,8,8,6,4,6,2,39,20,8
